#Province id 0 is ignored, hard coded.
0;0;0;0;;x;;;;;;;;;;;;;;
1;225;51;136;province;x;;;;;;;;;;;;;;
2;219;109;87;province;x;;;;;;;;;;;;;;
3;150;141;195;province;x;;;;;;;;;;;;;;
4;173;59;97;province;x;;;;;;;;;;;;;;
5;207;231;154;province;x;;;;;;;;;;;;;;
6;81;95;69;province;x;;;;;;;;;;;;;;
7;136;219;190;province;x;;;;;;;;;;;;;;
8;242;102;78;province;x;;;;;;;;;;;;;;
9;182;249;64;province;x;;;;;;;;;;;;;;
10;86;79;134;province;x;;;;;;;;;;;;;;
11;95;237;107;province;x;;;;;;;;;;;;;;
12;84;118;51;province;x;;;;;;;;;;;;;;
13;241;248;196;province;x;;;;;;;;;;;;;;
14;201;59;83;province;x;;;;;;;;;;;;;;
15;83;147;127;province;x;;;;;;;;;;;;;;
16;126;52;182;province;x;;;;;;;;;;;;;;
17;162;192;66;province;x;;;;;;;;;;;;;;
18;178;194;121;province;x;;;;;;;;;;;;;;
19;73;87;60;province;x;;;;;;;;;;;;;;
20;99;235;149;province;x;;;;;;;;;;;;;;
21;66;176;187;province;x;;;;;;;;;;;;;;
22;93;166;194;province;x;;;;;;;;;;;;;;
23;181;155;181;province;x;;;;;;;;;;;;;;
24;167;225;66;province;x;;;;;;;;;;;;;;
25;158;109;72;province;x;;;;;;;;;;;;;;
26;216;70;97;province;x;;;;;;;;;;;;;;
27;137;97;110;province;x;;;;;;;;;;;;;;
28;217;206;151;province;x;;;;;;;;;;;;;;
29;230;180;85;province;x;;;;;;;;;;;;;;
30;250;56;86;province;x;;;;;;;;;;;;;;
31;109;167;144;province;x;;;;;;;;;;;;;;
32;95;137;67;province;x;;;;;;;;;;;;;;
33;104;204;95;province;x;;;;;;;;;;;;;;
34;84;172;153;province;x;;;;;;;;;;;;;;
35;116;68;125;province;x;;;;;;;;;;;;;;
36;77;68;185;province;x;;;;;;;;;;;;;;
37;214;119;159;province;x;;;;;;;;;;;;;;
38;53;216;189;province;x;;;;;;;;;;;;;;
39;61;184;126;province;x;;;;;;;;;;;;;;
40;233;205;71;province;x;;;;;;;;;;;;;;
41;63;155;87;province;x;;;;;;;;;;;;;;
42;250;180;154;province;x;;;;;;;;;;;;;;
43;139;148;98;province;x;;;;;;;;;;;;;;
44;191;237;191;province;x;;;;;;;;;;;;;;
45;163;210;64;province;x;;;;;;;;;;;;;;
46;153;107;67;province;x;;;;;;;;;;;;;;
47;54;233;123;province;x;;;;;;;;;;;;;;
48;247;213;72;province;x;;;;;;;;;;;;;;
49;123;111;134;province;x;;;;;;;;;;;;;;
50;158;245;195;province;x;;;;;;;;;;;;;;
51;224;59;95;province;x;;;;;;;;;;;;;;
52;234;243;166;province;x;;;;;;;;;;;;;;
53;111;113;87;province;x;;;;;;;;;;;;;;
54;207;225;128;province;x;;;;;;;;;;;;;;
55;104;77;157;province;x;;;;;;;;;;;;;;
56;93;88;65;province;x;;;;;;;;;;;;;;
57;103;73;68;province;x;;;;;;;;;;;;;;
58;183;172;172;province;x;;;;;;;;;;;;;;
59;196;183;92;province;x;;;;;;;;;;;;;;
60;127;185;89;province;x;;;;;;;;;;;;;;
61;100;229;167;province;x;;;;;;;;;;;;;;
62;120;134;159;province;x;;;;;;;;;;;;;;
63;92;65;123;province;x;;;;;;;;;;;;;;
64;132;244;178;province;x;;;;;;;;;;;;;;
65;226;167;109;province;x;;;;;;;;;;;;;;
66;155;181;60;province;x;;;;;;;;;;;;;;
67;103;113;58;province;x;;;;;;;;;;;;;;
68;208;221;109;province;x;;;;;;;;;;;;;;
69;115;250;143;province;x;;;;;;;;;;;;;;
70;55;63;112;province;x;;;;;;;;;;;;;;
71;145;121;93;province;x;;;;;;;;;;;;;;
72;157;125;196;province;x;;;;;;;;;;;;;;
73;108;164;144;province;x;;;;;;;;;;;;;;
74;187;193;93;province;x;;;;;;;;;;;;;;
75;154;136;134;province;x;;;;;;;;;;;;;;
76;69;99;87;province;x;;;;;;;;;;;;;;
77;197;65;81;province;x;;;;;;;;;;;;;;
78;193;169;187;province;x;;;;;;;;;;;;;;
79;221;218;115;province;x;;;;;;;;;;;;;;
80;140;185;145;province;x;;;;;;;;;;;;;;
81;246;231;178;province;x;;;;;;;;;;;;;;
82;133;99;170;province;x;;;;;;;;;;;;;;
83;154;226;71;province;x;;;;;;;;;;;;;;
84;96;122;168;province;x;;;;;;;;;;;;;;
85;73;57;146;province;x;;;;;;;;;;;;;;
86;57;127;174;province;x;;;;;;;;;;;;;;
87;112;117;82;province;x;;;;;;;;;;;;;;
88;183;80;119;province;x;;;;;;;;;;;;;;
89;110;144;145;province;x;;;;;;;;;;;;;;
90;152;226;86;province;x;;;;;;;;;;;;;;
91;172;233;176;province;x;;;;;;;;;;;;;;
92;190;77;170;province;x;;;;;;;;;;;;;;
93;234;77;82;province;x;;;;;;;;;;;;;;
94;112;208;113;province;x;;;;;;;;;;;;;;
95;159;56;116;province;x;;;;;;;;;;;;;;
96;134;163;99;province;x;;;;;;;;;;;;;;
97;221;203;101;province;x;;;;;;;;;;;;;;
98;82;233;162;province;x;;;;;;;;;;;;;;
99;164;106;193;province;x;;;;;;;;;;;;;;
100;82;243;111;province;x;;;;;;;;;;;;;;
101;148;211;50;province;x;;;;;;;;;;;;;;
102;190;141;136;province;x;;;;;;;;;;;;;;
103;51;119;154;province;x;;;;;;;;;;;;;;
104;62;69;134;province;x;;;;;;;;;;;;;;
105;50;245;136;province;x;;;;;;;;;;;;;;
106;66;59;114;province;x;;;;;;;;;;;;;;
107;73;107;69;province;x;;;;;;;;;;;;;;
108;136;231;113;province;x;;;;;;;;;;;;;;
